key,where,placeholders,en,cs
tourKickoffContinentalCup,Fallback tournament name on the opening-ceremony screen.,,CONTINENTAL CUP,KONTINENTÁLNÍ POHÁR
tourHostCompetitionYear,Host banner: the competition and its year.,{competition} {year},{competition} {year},{competition} {year}
newsContMissTitle,Inbox: failed to qualify for the continental cup.,{cup},{cup} missed,{cup} bez nás
newsContMissBody,"Inbox: failed to qualify for the continental cup, body.",{cup},You didn't qualify for {cup}. The campaign came up short this time.,Na turnaj {cup} jste nepostoupili. Kvalifikace tentokrát nevyšla.
newsPotyTitle,Inbox: the year's player award.,{year},World Player of the Year {year},Světový hráč roku {year}
newsPotyBody,"Inbox: the year's player award, body.",{name},{name} is the best player in the world this year.,{name} je letos nejlepším hráčem světa.
newsPotyYoungSuffix,Inbox: appended when a different player takes the young-player award.,{name}, {name} takes the young player's award., Cenu pro nejlepšího mladého hráče bere {name}.
matchTopBarTitle,Live-match screen top bar.,,MATCH,ZÁPAS
matchStatsAtFullTime,Live match: stats tab before full time.,,Stats available at full time.,Statistiky budou k dispozici po konci zápasu.
matchPlayerRatings,Live match: player-ratings heading.,,PLAYER RATINGS,ZNÁMKY HRÁČŮ
matchSubstitutions,Live match: substitutions heading.,,SUBSTITUTIONS,STŘÍDÁNÍ
matchSubstitutes,Live match: bench heading.,,SUBSTITUTES,NÁHRADNÍCI
matchPlayerOfTheMatch,Live match: man-of-the-match heading.,,PLAYER OF THE MATCH,HRÁČ ZÁPASU
matchGoalShout,Live match: the goal flash.,,GOAL!,GÓL!
matchShootoutScore,Live match: the shoot-out scoreline.,{home} {away},SHOOTOUT {home}–{away},PENALTY {home}:{away}
tourVenues,Tournament screen: venues card heading.,,VENUES,STADIONY
tourPot,Draw ceremony: a seeding pot.,{number},POT {number},KOŠ {number}
tourHostSelection,Host-draw screen heading.,,HOST SELECTION,VOLBA POŘADATELE
tourCandidates,Host-draw screen: the bidding nations.,,CANDIDATES,KANDIDÁTI
tourJointBid,Host-draw screen: a shared bid.,,JOINT BID,SPOLEČNÁ KANDIDATURA
tourGoldenGlove,Tournament awards: best goalkeeper.,,GOLDEN GLOVE,ZLATÁ RUKAVICE
tourTeamOfTournament,Tournament awards heading.,,TEAM OF THE TOURNAMENT,NEJLEPŠÍ JEDENÁCTKA TURNAJE
tourYourRun,Tournament bracket: the manager's own path.,,YOUR RUN,VAŠE CESTA
tourMedalTable,Tournament history heading.,,MEDAL TABLE,MEDAILOVÉ POŘADÍ
tourHostLine,Tournament history: who hosted an edition.,{nation},Host: {nation},Pořadatel: {nation}
tourHostLineMulti,"Tournament history: an edition shared by two or more co-hosts, shown as country codes separated by middle dots (e.g. ""USA · CAN · MEX"").",{hosts},Hosts: {hosts},Pořadatelé: {hosts}
tourGroupNamed,A group's name in a bracket or table.,{name},Group {name},Skupina {name}
tourFinalsDrawBlurb,Finals-draw screen blurb.,,Seeded by world ranking. Spot your nation before the draw.,"Nasazení podle světového žebříčku. Najděte svůj tým, než začne los."
tourWorldRanking,Tournaments screen: link to the world ranking.,,World Ranking,Světový žebříček
tourYourCompetitions,Tournaments screen section heading.,,YOUR COMPETITIONS,VAŠE SOUTĚŽE
tourOtherContinents,Tournaments screen section heading.,,OTHER CONTINENTS,OSTATNÍ KONTINENTY
tourHostedBy,Opening-ceremony screen: the host nations.,{hosts},HOSTED BY  {hosts},POŘÁDÁ  {hosts}
tourThirdsAdvance,Best-third-placed table: how many go through and where.,{count} {destination},Top {count} advance to {destination},Nejlepších {count} postupuje do {destination}
newsWalkoutTitle,Inbox: a player retires internationally after being ignored.,{name},{name} walks away,{name} končí v reprezentaci
newsWalkoutBody,Inbox: walkout body.,{name} {age} {caps},"{name} has retired from international football at {age}, with {caps} caps. He asked to be told where he stood and was not, and he is not waiting any longer.","{name} ukončil reprezentační kariéru ve {age} letech s {caps} starty. Chtěl vědět, na čem je, odpovědi se nedočkal, a déle už nečekal."
pressProbeAccountability1,Press conference: a Accountability follow-up question.,,You've backed them again. Is nobody in that dressing room accountable?,Znovu se zastáváte hráčů. Nenese v té kabině nikdo odpovědnost?
pressProbeAccountability2,Press conference: a Accountability follow-up question.,,That's the players defended. Who actually answers for a night like that?,Hráče jste obhájil. Kdo se tedy za takový večer zodpovídá?
pressProbeAccountability3,Press conference: a Accountability follow-up question.,,Loyalty is easy from up there. Does anyone pay a price?,Loajalita se hlásá snadno. Ponese to někdo?
pressProbeAccountability4,Press conference: a Accountability follow-up question.,,"If it's never the players, we're left with one name. Yours.","Když to nikdy nejsou hráči, zbývá jediné jméno. To vaše."
pressProbeYourFuture1,Press conference: a YourFuture follow-up question.,,You've taken it on yourself. Should we be asking about your future?,Berete to na sebe. Máme se ptát na vaši budoucnost?
pressProbeYourFuture2,Press conference: a YourFuture follow-up question.,,Falling on your sword is noble. Is the job still yours?,Padnout na meč je ušlechtilé. Je to místo pořád vaše?
pressProbeYourFuture3,Press conference: a YourFuture follow-up question.,,You keep saying it's you. At what point is that a resignation?,"Pořád opakujete, že je to na vás. Odkdy je to rezignace?"
pressProbeYourFuture4,Press conference: a YourFuture follow-up question.,,The board are listening too. Are you sure you want that on record?,Poslouchá i vedení. Určitě to chcete mít v záznamu?
pressProbeDressingRoom1,Press conference: a DressingRoom follow-up question.,,Strong words in public. Have you lost that dressing room?,Ostrá slova na veřejnosti. Neztratil jste kabinu?
pressProbeDressingRoom2,Press conference: a DressingRoom follow-up question.,,You've just told the country they're not good enough. How does that help?,"Právě jste zemi řekl, že na to nemají. Jak jim to pomůže?"
pressProbeDressingRoom3,Press conference: a DressingRoom follow-up question.,,Demanding it here rather than in there. Is that leadership?,Žádat to tady místo v kabině. Je tohle vedení mužstva?
pressProbeDressingRoom4,Press conference: a DressingRoom follow-up question.,,Players read this too. What do they hear tomorrow morning?,Hráči to čtou taky. Co uslyší zítra ráno?
pressProbeExpectation1,Press conference: a Expectation follow-up question.,,You've raised the bar in public. Is that not a hostage to fortune?,Nahlas jste zvedl laťku. Není to sázka na štěstí?
pressProbeExpectation2,Press conference: a Expectation follow-up question.,,Big promise. What happens the day you don't deliver it?,"Velký slib. Co se stane v den, kdy ho nesplníte?"
pressProbeExpectation3,Press conference: a Expectation follow-up question.,,Every manager before you said the same and packed a bag. Why are you different?,Každý trenér před vámi říkal totéž a pak si sbalil. Proč jste jiný?
pressProbeExpectation4,Press conference: a Expectation follow-up question.,,You've set the target. Will you resign if you miss it?,"Cíl jste si stanovil sám. Odejdete, když ho nesplníte?"
pressProbeSubstance1,Press conference: a Substance follow-up question.,,"With respect, that's not an answer. Give us something.","S dovolením, tohle není odpověď. Řekněte nám něco."
pressProbeSubstance2,Press conference: a Substance follow-up question.,,The country wants to hear from you. Anything at all?,Země chce slyšet vás. Aspoň něco?
pressProbeSubstance3,Press conference: a Substance follow-up question.,,You can keep saying nothing. We'll keep printing it.,Můžete dál mlčet. My to budeme dál otiskovat.
pressProbeSubstance4,Press conference: a Substance follow-up question.,,One straight sentence. What do you actually think?,Jednu jasnou větu. Co si o tom doopravdy myslíte?
pressProbeSelection1,Press conference: a Selection follow-up question.,,"Same names, same shape, same result. Why does that team keep getting picked?","Stejná jména, stejné rozestavení, stejný výsledek. Proč pořád nasazujete tuhle sestavu?"
pressProbeSelection2,Press conference: a Selection follow-up question.,,There are players in form watching this on television. Explain the selection.,Hráči ve formě to sledují v televizi. Vysvětlete tu nominaci.
pressProbeSelection3,Press conference: a Selection follow-up question.,,"Is the XI picked on merit, or on reputation?","Vybíráte jedenáctku podle formy, nebo podle jména?"
pressProbeSelection4,Press conference: a Selection follow-up question.,,"Tactically, we all saw the problem. Did you?",Takticky jsme ten problém viděli všichni. Vy taky?
pressProbeTheFans1,Press conference: a TheFans follow-up question.,,Thousands travelled for that. What do you say to them tonight?,Tisíce lidí kvůli tomu cestovaly. Co jim dnes večer řeknete?
pressProbeTheFans2,Press conference: a TheFans follow-up question.,,The supporters have stuck with this team for years. What are you giving them?,Fanoušci u tohohle týmu vydrželi roky. Co jim dáváte vy?
pressProbeTheFans3,Press conference: a TheFans follow-up question.,,They sing your name or they don't. Which is it going to be?,"Buď vaše jméno skandují, nebo ne. Jak to bude?"
pressProbeTheFans4,Press conference: a TheFans follow-up question.,,Message to the people back home. Go on.,Vzkaz pro lidi doma. Prosím.
pressProbeBigPicture1,Press conference: a BigPicture follow-up question.,,Step back for me. Where is this nation actually going?,Zkusme odstup. Kam tahle reprezentace vlastně směřuje?
pressProbeBigPicture2,Press conference: a BigPicture follow-up question.,,"From the outside, nothing has changed here in years. Has it?",Zvenčí se tu roky nic nezměnilo. Nebo ano?
pressProbeBigPicture3,Press conference: a BigPicture follow-up question.,,"In four years' time, what does this side look like?",Jak bude tenhle tým vypadat za čtyři roky?
pressProbeBigPicture4,Press conference: a BigPicture follow-up question.,,"Is this a project, or is it just the next match?","Je tohle projekt, nebo jen další zápas?"
pressNeedleBackPlayers,Press conference: a reporter's aside when the manager keeps taking the same stance.,,You always back them. We've heard it.,Vždycky se jich zastáváte. Slyšeli jsme to už mockrát.
pressNeedleTakeBlame,Press conference: a reporter's aside when the manager keeps taking the same stance.,,"It's always your fault, apparently.",Podle vás je to prý vždycky vaše chyba.
pressNeedleDemandMore,Press conference: a reporter's aside when the manager keeps taking the same stance.,,More demands. Again.,Zase další požadavky.
pressNeedleRaiseBar,Press conference: a reporter's aside when the manager keeps taking the same stance.,,Another promise for the file.,Další slib do archivu.
pressNeedlePlayDown,Press conference: a reporter's aside when the manager keeps taking the same stance.,,You never give us anything.,Nikdy nám nic neřeknete.
pressHeadlineWent1,Press conference: the morning's headline after a conference that went went.,,A manager in charge of the room,"Trenér, který má situaci pevně v rukou"
pressHeadlineWent2,Press conference: the morning's headline after a conference that went went.,,They came for a row and got a leader,"Přišli si pro hádku, odešli s vůdcem"
pressHeadlineWent3,Press conference: the morning's headline after a conference that went went.,,"Straight answers, and they landed","Jasné odpovědi, a sedly"
pressHeadlineMixed1,Press conference: the morning's headline after a conference that went mixed.,,"Plenty said, little settled","Řečeno hodně, vyřešeno málo"
pressHeadlineMixed2,Press conference: the morning's headline after a conference that went mixed.,,"Something for everyone, and nothing for anyone","Něco pro každého, a nic pro nikoho"
pressHeadlineMixed3,Press conference: the morning's headline after a conference that went mixed.,,A conference that left the questions open,"Tisková konference, po které otázky zůstaly"
pressHeadlineBadly1,Press conference: the morning's headline after a conference that went badly.,,A bruising afternoon in front of the cameras,Perná hodina před kamerami
pressHeadlineBadly2,Press conference: the morning's headline after a conference that went badly.,,"The room turned, and it showed","Sál se otočil proti němu, a bylo to vidět"
pressHeadlineBadly3,Press conference: the morning's headline after a conference that went badly.,,Answers that will read worse in the morning,"Odpovědi, které ráno vyzní ještě hůř"
pressHeadlineFlat1,Press conference: the morning's headline after a conference that went flat.,,"Nothing said, nothing gained","Nic neřečeno, nic nezískáno"
pressHeadlineFlat2,Press conference: the morning's headline after a conference that went flat.,,"Ten minutes, no news","Deset minut, žádná zpráva"
pressHeadlineFlat3,Press conference: the morning's headline after a conference that went flat.,,A blank page for the back page,Prázdná stránka pro zadní stranu
pressConferenceTitle,Press sheet heading.,,PRESS CONFERENCE,TISKOVÁ KONFERENCE
pressQuestionOf,Press sheet progress line.,{index} {total},Question {index} of {total},Otázka {index} z {total}
pressTomorrowsHeadline,Press sheet: heading over the closing headline.,,TOMORROW'S BACK PAGE,ZÍTŘEJŠÍ TITULEK
pressLeaveRoom,Press sheet: the button that closes the conference.,,LEAVE THE ROOM,ODEJÍT ZE SÁLU
pressRoomVerdictSquad,Press sheet: the summary line's squad column.,,Dressing room,Kabina
pressRoomVerdictBoard,Press sheet: the summary line's board column.,,Board,Vedení
yReactionElation0,Y feed: a elation reply under somebody else's post.,,no notes. none. perfect.,bez připomínek. žádných. dokonalé.
yReactionElation1,Y feed: a elation reply under somebody else's post.,,I am unwell (good).,je mi zle (v dobrém).
yReactionElation2,Y feed: a elation reply under somebody else's post.,,framing this. putting it above the fireplace.,dávám to do rámečku. nad krb.
yReactionElation3,Y feed: a elation reply under somebody else's post.,,we are so back,jsme zpátky ve hře
yReactionElation4,Y feed: a elation reply under somebody else's post.,,Screenshotting this for the doubters. All of them.,screenshot pro všechny pochybovače. Pro všechny.
yReactionElation5,Y feed: a elation reply under somebody else's post.,,I'm going to be insufferable about this for a decade.,budu s tím otravovat příštích deset let.
yReactionElation6,"Y reply: elation, variant 6.",,Right. That is why we watch.,Tak. Přesně proto se to sleduje.
yReactionElation7,"Y reply: elation, variant 7.",,Days like this pay for the other ones.,Takové dny zaplatí všechny ostatní.
yReactionElation8,"Y reply: elation, variant 8.",,"About time. Genuinely, about time.",Konečně. Fakt konečně.
yReactionElation9,"Y reply: elation, variant 9.",,Great. Now do it again next week and I will believe it.,Super. Zopakujte to za týden a uvěřím tomu.
yReactionElation10,"Y reply: elation, variant 10.",,"Enjoy tonight, because this lot will find a way to ruin it.","Užijte si dnešek, tihle si najdou způsob, jak to pokazit."
yReactionElation11,"Y reply: elation, variant 11.",,One good night does not make anybody a great side.,Jeden dobrý večer z nikoho nedělá velký tým.
yReactionRelief0,Y feed: a relief reply under somebody else's post.,,"Not pretty, but I'll take it every single time.","Krása to nebyla, ale beru to vždycky."
yReactionRelief1,Y feed: a relief reply under somebody else's post.,,Somehow. Somehow!,Nějak. Prostě nějak!
yReactionRelief2,Y feed: a relief reply under somebody else's post.,,Ugly. Three points. Moving on.,Ošklivé. Body doma. Jedeme dál.
yReactionRelief3,Y feed: a relief reply under somebody else's post.,,I will take ugly all day if it comes with points.,"Beru ošklivé celý den, když k tomu jsou body."
yReactionRelief4,Y feed: a relief reply under somebody else's post.,,that took ten years off me,tohle mě stálo deset let života
yReactionRelief5,Y feed: a relief reply under somebody else's post.,,Nobody speak. Nobody jinx it.,Nikdo nic neříkejte. Ať to nezakřiknete.
yReactionRelief6,"Y reply: relief, variant 6.",,Heart rate: unacceptable.,Tep: nepřijatelný.
yReactionRelief7,"Y reply: relief, variant 7.",,Survived. That is the word. Survived.,Přežili jsme. Přesně tak. Přežili.
yReactionRelief8,"Y reply: relief, variant 8.",,We should not need relief from games like that.,Z takových zápasů bychom si neměli oddechovat.
yReactionRelief9,"Y reply: relief, variant 9.",,"Relieved, and a bit embarrassed about being relieved.",Ulevilo se mi a stydím se za to.
yReactionRelief10,"Y reply: relief, variant 10.",,"If that is the standard we are cheering, we are in trouble.","Jestli tleskáme tomuhle, je zle."
yReactionRelief11,"Y reply: relief, variant 11.",,"Scraping through is a habit, and it is not a good one.","Protloukat se je zvyk, a špatný."
yReactionFury0,Y feed: a fury reply under somebody else's post.,,Not good enough. Not remotely.,Málo. Ani zdaleka to nestačí.
yReactionFury1,Y feed: a fury reply under somebody else's post.,,Somebody explain that to me slowly.,Ať mi to někdo vysvětlí. Pomalu.
yReactionFury2,Y feed: a fury reply under somebody else's post.,,That is a hard watch and I am being polite.,Tohle se špatně sleduje a jsem ještě slušný.
yReactionFury3,Y feed: a fury reply under somebody else's post.,,Disappointed. Genuinely disappointed.,Zklamání. Opravdové zklamání.
yReactionFury4,Y feed: a fury reply under somebody else's post.,,Absolute state of this.,Tohle je fakt bída.
yReactionFury5,Y feed: a fury reply under somebody else's post.,,I want names.,Chci jména.
yReactionFury6,"Y reply: fury, variant 6.",,Deleting the app. Reinstalling Thursday.,Mažu aplikaci. Ve čtvrtek ji stáhnu zpátky.
yReactionFury7,"Y reply: fury, variant 7.",,Nobody out there looked like they wanted it.,"Nikdo tam nevypadal, že by o to stál."
yReactionFury8,"Y reply: fury, variant 8.",,"Every four years, the same. EVERY four years.",Každé čtyři roky to samé. KAŽDÉ čtyři roky.
yReactionFury9,"Y reply: fury, variant 9.",,"That is not a performance, it is an insult.","To nebyl výkon, to byla urážka."
yReactionFury10,"Y reply: fury, variant 10.",,People give up weekends and money for that. Think about it.,Lidé kvůli tomu obětují víkendy a peníze. Zamyslete se.
yReactionFury11,"Y reply: fury, variant 11.",,I have defended this side for years. Not tonight. Not after that.,Bránil jsem tenhle tým roky. Dneska ne. Po tomhle ne.
yReactionDespair0,Y feed: a despair reply under somebody else's post.,,well.,tak.
yReactionDespair1,Y feed: a despair reply under somebody else's post.,,No jokes today. Nothing.,Dneska bez vtipů. Vůbec nic.
yReactionDespair2,Y feed: a despair reply under somebody else's post.,,Going for a walk. A long one.,Jdu se projít. Na dlouho.
yReactionDespair3,Y feed: a despair reply under somebody else's post.,,I have run out of ways to say this.,Došla mi slova.
yReactionDespair4,Y feed: a despair reply under somebody else's post.,,Wake me in four years.,Vzbuďte mě za čtyři roky.
yReactionDespair5,Y feed: a despair reply under somebody else's post.,,this is the darkest timeline,tohle je ta nejhorší verze reality
yReactionDespair6,"Y reply: despair, variant 6.",,Not even angry any more. That is the worrying part.,Už ani vztek. To je na tom to nejhorší.
yReactionDespair7,"Y reply: despair, variant 7.",,"Same feeling, different year.","Stejný pocit, jiný rok."
yReactionDespair8,"Y reply: despair, variant 8.",,"I do not know what this is any more, but it is not a football team.","Nevím, co to je, ale fotbalový tým to není."
yReactionDespair9,"Y reply: despair, variant 9.",,"We are further away than we were, and nobody will say it.",Jsme dál než dřív a nikdo to nahlas neřekne.
yReactionDespair10,"Y reply: despair, variant 10.",,A whole generation wasted and the same people decide what happens next.,Promarněná generace a rozhodovat budou ti samí lidé.
yReactionDespair11,"Y reply: despair, variant 11.",,Stop telling me it is a process. It is not going anywhere.,"Neříkejte mi, že je to proces. Nikam to nevede."
yReactionSmugness0,Y feed: a smugness reply under somebody else's post.,,"Quietly, but: told you.","Potichu, ale: říkal jsem to."
yReactionSmugness1,Y feed: a smugness reply under somebody else's post.,,bookmark this one,tohle si uložte
yReactionSmugness2,Y feed: a smugness reply under somebody else's post.,,The doubters have gone very quiet.,Pochybovači nějak ztichli.
yReactionSmugness3,Y feed: a smugness reply under somebody else's post.,,Not that anybody's counting. I'm counting.,Ne že by to někdo počítal. Já to počítám.
yReactionSmugness4,Y feed: a smugness reply under somebody else's post.,,Said it in January. Check the timeline.,Říkal jsem to v lednu. Zkontrolujte si to.
yReactionSmugness5,Y feed: a smugness reply under somebody else's post.,,Some of you owe some of us an apology.,Někteří z vás nám dluží omluvu.
yReactionSmugness6,"Y reply: smugness, variant 6.",,Filing this under things I mentioned first.,Zakládám do složky „říkal jsem to první“.
yReactionSmugness7,"Y reply: smugness, variant 7.",,No gloating. A little gloating.,Žádné vytahování. Trochu vytahování.
yReactionSmugness8,"Y reply: smugness, variant 8.",,Where are all the experts now? Genuine question.,Kde jsou teď všichni odborníci? Vážná otázka.
yReactionSmugness9,"Y reply: smugness, variant 9.",,I would like every single one of you to say it back to me.,Chci to od každého z vás slyšet nahlas.
yReactionSmugness10,"Y reply: smugness, variant 10.",,"Screenshot, printed, framed, sent to the people who laughed.","Screenshot, vytisknout, zarámovat, poslat těm, co se smáli."
yReactionSmugness11,"Y reply: smugness, variant 11.",,I will be bringing this up for the rest of my life and you have earned it.,Budu to připomínat do konce života a zasloužíte si to.
yReactionShrug0,Y feed: a shrug reply under somebody else's post.,,it happened. next.,stalo se. jedeme dál.
yReactionShrug1,Y feed: a shrug reply under somebody else's post.,,Fine. Whatever. Onwards.,Dobře. Nevadí. Dál.
yReactionShrug2,Y feed: a shrug reply under somebody else's post.,,Filing this one under 'football'.,Zařazuju do složky „fotbal“.
yReactionShrug3,Y feed: a shrug reply under somebody else's post.,,Genuinely nothing to add.,Vážně nemám co dodat.
yReactionShrug4,Y feed: a shrug reply under somebody else's post.,,"no thoughts, head empty","žádné myšlenky, prázdno"
yReactionShrug5,Y feed: a shrug reply under somebody else's post.,,Wake me for the next one.,Vzbuďte mě na další.
yReactionShrug6,"Y reply: shrug, variant 6.",,That is ninety minutes I am not getting back.,"To je devadesát minut, co už mi nikdo nevrátí."
yReactionShrug7,"Y reply: shrug, variant 7.",,"Neither here nor there, really.","Ani ryba, ani rak."
yReactionShrug8,"Y reply: shrug, variant 8.",,Could not tell you a single thing that happened.,"Neuměl bych říct jedinou věc, co se stalo."
yReactionShrug9,"Y reply: shrug, variant 9.",,Another one of those. There are a lot of those.,Zase jeden z těch. Těch je hodně.
yReactionShrug10,"Y reply: shrug, variant 10.",,I watched all of it and felt nothing at all.,Viděl jsem to celé a necítil vůbec nic.
yReactionShrug11,"Y reply: shrug, variant 11.",,"If nobody mentions this again, that is fine by me.","Jestli to už nikdo nezmíní, budu jen rád."
tourThirdsUneven,Best-third-placed table: why some results are dropped.,,"Groups are uneven, so results against each big group's bottom side are dropped and every team is judged over the same games.","Skupiny nejsou stejně velké, takže výsledky proti poslednímu týmu větších skupin se nezapočítávají a všechny týmy se hodnotí podle stejného počtu zápasů."
gateTitle,Premium gate: headline at the end of the free cycle.,,YOUR FIRST CYCLE IS OVER,PRVNÍ CYKLUS KONČÍ
gateLead,Premium gate: the pitch under the headline.,,"Four years, and nothing was held back. Carry this save on for one payment.",Čtyři roky a nic vám nebylo zatajeno. Pokračujte v této hře za jednu platbu.
gateBenefitEndless,Premium gate benefit.,,Every cycle from here on,Každý další cyklus
gateBenefitNations,Premium gate benefit.,,Every nation in the world,Všechny země světa
gateBenefitOffline,Premium gate benefit.,,"No subscription, no ads, no account","Žádné předplatné, žádné reklamy, žádný účet"
gatePriceLead,Premium gate: the line above the price.,,"One payment, forever","Jedna platba, navždy"
gatePrice,Premium gate: the price. Placeholder until the store's own localised price is wired in.,,€12.99,"12,99 €"
gateBuy,Premium gate: the button that continues the career.,,BUY AND CONTINUE,KOUPIT A POKRAČOVAT
gateExit,Premium gate: the button that leaves the save.,,EXIT,ODEJÍT
gateNotChargedYet,Premium gate: an honest note while the store is not wired up.,,Not connected to payment yet. This button just continues.,Zatím není napojeno na platbu. Tlačítko jen pokračuje dál.
backupTitle,Settings: heading for the backup section.,,SAVES,ULOŽENÉ HRY
backupBlurb,Settings: what the backup section is for.,,Every save lives in one file on this phone. Export a copy so a lost or reinstalled phone does not cost you a career.,"Všechny uložené hry jsou v jednom souboru v tomto telefonu. Vytvořte si zálohu, aby vás ztráta nebo přeinstalace telefonu nestála kariéru."
backupExport,Settings: the export button.,,EXPORT A BACKUP,EXPORTOVAT ZÁLOHU
backupExportSubject,Subject line when the exported save is shared.,,FNM saves,Uložené hry FNM
backupRestore,Settings: the restore button.,,RESTORE FROM A FILE,OBNOVIT ZE SOUBORU
backupRestoreWarnTitle,Confirmation title before a restore.,,Replace every save?,Nahradit všechny uložené hry?
backupRestoreWarnBody,Confirmation body before a restore.,,Restoring replaces every save on this phone with the ones in the file. The app will restart.,Obnovení nahradí všechny uložené hry v tomto telefonu těmi ze souboru. Aplikace se restartuje.
backupRestoreConfirm,Confirmation button for a restore.,,REPLACE,NAHRADIT
backupCancel,Dismisses the restore confirmation.,,CANCEL,ZRUŠIT
backupExported,Snackbar after a successful export.,,Backup ready. Choose where to keep it.,"Záloha je připravená. Vyberte, kam ji uložit."
backupFailed,Snackbar when an export fails.,,Could not write the backup.,Zálohu se nepodařilo vytvořit.
backupRejectedUnreadable,Restore refused: not a readable database.,,That file could not be opened.,Tento soubor nelze otevřít.
backupRejectedNotFnm,"Restore refused: a database, but not ours.",,That is not an FNM save.,Tohle není uložená hra FNM.
backupRejectedNewer,Restore refused: the backup is from a later build.,,That save was made by a newer version of the app. Update first.,Tato záloha pochází z novější verze aplikace. Nejprve aplikaci aktualizujte.
backupRejectedTooOld,Restore refused: older than the migration path reaches.,,That save is too old to be restored by this version.,"Tato záloha je příliš stará, tato verze ji nedokáže obnovit."
careerShare,Saves list: tooltip on the per-career export button.,,Share this career,Sdílet tuto kariéru
careerImport,Saves list: the button that adds a career from a file.,,IMPORT A CAREER,IMPORTOVAT KARIÉRU
careerShareSubject,Subject line when a single career is shared.,,An FNM career,Kariéra ve FNM
careerImported,Snackbar after a career has been added from a file.,,Career imported.,Kariéra byla importována.
careerImportFailedUnreadable,Import refused: unreadable bundle.,,That file is not an FNM career.,Tento soubor není kariéra FNM.
careerImportFailedNewer,Import refused: the bundle is from a later build.,,That career was exported by a newer version of the app. Update first.,Tato kariéra byla exportována novější verzí aplikace. Nejprve aplikaci aktualizujte.
careerShareFailed,Snackbar when a per-career export fails.,,Could not export that career.,Kariéru se nepodařilo exportovat.
managerTitle,Manager screen: app bar title.,,MANAGER,TRENÉR
managerSkills,Manager screen: skills section heading.,,YOUR SKILLS,VAŠE SCHOPNOSTI
managerPointsAvailable,Manager screen: unspent skill points.,"PLURAL — keep the {count, plural, …} skeleton exactly; translate only the words inside the branches","{count, plural, =0{No points to spend} one{1 point to spend} other{{count} points to spend}}","{count, plural, =0{Žádné body k rozdělení} one{1 bod k rozdělení} few{{count} body k rozdělení} other{{count} bodů k rozdělení}}"
managerPointsHow,Manager screen: how points are earned.,,"Two points for every cycle you complete, one for every trophy you win.","Dva body za každý dokončený cyklus, jeden za každou vyhranou trofej."
managerSkillsScale,"Manager screen: how the skill scale works, above the four skills.",,Every skill starts at 5 and stops at 20. A point spent is permanent.,Každá dovednost začíná na 5 a končí na 20. Vložený bod je trvalý.
managerSkillManManagement,Manager skill name.,,Man Management,Vedení lidí
managerSkillManManagementBlurb,Manager skill effect.,,Each point makes what you say to the press and to your players land 3% harder in the dressing room.,"Každý bod zvýší o 3 %, jak silně na kabinu působí to, co řeknete novinářům i hráčům."
managerSkillTactical,Manager skill name.,,Tactical,Taktika
managerSkillTacticalBlurb,Manager skill effect.,,"Each point beds a new formation in 3% faster, so changing shape costs you fewer matches.","Každý bod o 3 % zrychlí zažití nové formace, takže změna rozestavení stojí méně zápasů."
managerSkillYouth,Manager skill name.,,Youth Development,Práce s mládeží
managerSkillYouthBlurb,Manager skill effect.,,"Each point adds 1% to the talent coming out of your academy, on top of what you fund it with.","Každý bod přidá 1 % k talentu vycházejícímu z akademie, nad rámec toho, co do ní vložíte."
managerSkillNegotiation,Manager skill name.,,Negotiation,Vyjednávání
managerSkillNegotiationBlurb,Manager skill effect.,,"Each point is 2% more money out of the federation, every cycle.","Každý bod znamená o 2 % více peněz od federace, každý cyklus."
managerStaff,Manager screen: staff section heading.,,YOUR STAFF,VÁŠ REALIZAČNÍ TÝM
managerStaffWages,Manager screen: the standing staff cost.,{amount},Wages: {amount} per cycle,Mzdy: {amount} za cyklus
managerRoleAssistant,Staff role.,,Assistant Manager,Asistent trenéra
managerRoleAssistantBlurb,Staff role effect.,,"Runs the training: fewer injuries, and better youngsters coming through.",Vede tréninky: méně zranění a lepší mladí hráči.
managerRoleScout,Staff role.,,Chief Scout,Hlavní skaut
managerRoleScoutBlurb,Staff role effect.,,Watches the world's teenagers. Nothing he reports reaches your squad yet.,Sleduje mladé hráče po celém světě. Jeho zprávy se k týmu zatím nedostanou.
managerRoleFitness,Staff role.,,Fitness Coach,Kondiční trenér
managerRoleFitnessBlurb,Staff role effect.,,Keeps them on the pitch.,Udrží hráče na hřišti.
staffEffectInjury,"What the fitness coach in the job is doing, in injury rate.",{percent},{percent}% fewer injuries,O {percent} % méně zranění
staffEffectYouth,What the assistant's hours with the youngest players are worth on the next intake.,{points},Youngsters +{points} overall,Mladíci +{points} na celkovém
staffHiringInjury,What filling the vacant fitness coach job would be worth.,{min} {max},Hiring one: {min}% to {max}% fewer injuries,Po najmutí: o {min} až {max} % méně zranění
staffHiringYouth,Second line of what filling the vacant assistant job would be worth.,{minPoints} {maxPoints},and youngsters +{minPoints} to +{maxPoints} overall,a mladíci +{minPoints} až +{maxPoints} na celkovém
staffEffectNone,Shown against a staff role that is wired to nothing in the game.,,No effect on your squad yet,Na tým zatím nemá žádný vliv
staffVacant,Shown against a staff role with nobody hired.,,Nobody in the job,Místo je neobsazené
staffLeaveVacant,Option in the staff picker that hires nobody.,,Leave the job empty,Nechat místo neobsazené
managerTierNone,Staff quality tier.,,None,Nikdo
